generation,rank_1,rank_2,swapAccepted
498000,1,4,0
499000,1,2,1
500000,3,4,1
501000,1,2,1
502000,1,3,0
503000,1,2,1
504000,1,4,0
505000,2,3,1
506000,1,3,1
507000,1,4,0
508000,2,3,1
509000,2,4,0
510000,2,3,1
511000,2,4,1
512000,1,3,0
513000,2,3,1
514000,1,4,1
515000,1,2,1
516000,1,2,1
517000,1,2,1
518000,3,4,1
519000,2,4,0
520000,1,4,0
521000,2,3,1
522000,2,4,0
523000,1,2,1
524000,1,2,1
525000,3,4,1
526000,2,3,1
527000,1,4,1
528000,2,3,1
529000,1,2,1
530000,1,4,1
531000,2,4,1
532000,2,3,0
533000,1,4,1
534000,3,4,1
535000,1,3,0
536000,2,3,1
537000,2,3,0
538000,2,4,1
539000,1,4,1
540000,1,3,0
541000,2,3,1
542000,2,4,1
543000,1,4,0
544000,1,3,1
545000,1,2,1
546000,2,3,1
547000,2,3,1
548000,1,3,1
549000,2,4,1
550000,3,4,0
551000,1,2,1
552000,1,4,0
553000,1,3,1
554000,3,4,1
555000,1,4,0
556000,1,3,1
557000,1,4,1
558000,2,3,1
559000,1,4,0
560000,2,3,1
561000,3,4,0
562000,2,4,0
563000,2,4,0
564000,1,3,1
565000,2,3,1
566000,2,4,1
567000,2,4,1
568000,1,4,1
569000,2,3,1
570000,3,4,1
571000,1,4,1
572000,2,3,0
573000,1,4,0
574000,1,3,1
575000,1,4,1
576000,3,4,1
577000,2,3,0
578000,1,2,1
579000,3,4,1
580000,1,3,1
581000,2,3,1
582000,3,4,1
583000,1,4,0
584000,1,3,1
585000,2,4,0
586000,1,4,0
587000,2,4,1
588000,1,2,1
589000,3,4,1
590000,2,3,1
591000,1,3,1
592000,3,4,1
593000,2,3,1
594000,1,4,1
595000,1,3,1
596000,1,2,1
597000,2,4,0
598000,1,2,1
599000,1,4,0
600000,2,4,0
601000,1,4,0
602000,2,3,1
603000,3,4,1
604000,2,4,1
605000,1,2,1
606000,1,3,1
607000,3,4,0
608000,1,3,1
609000,1,3,1
610000,3,4,1
611000,2,4,1
612000,1,4,1
613000,3,4,1
614000,1,2,0
615000,2,3,0
616000,2,4,0
617000,2,4,0
618000,2,3,0
619000,3,4,1
620000,2,4,1
621000,1,3,1
622000,1,3,1
623000,2,4,1
624000,1,2,1
625000,1,2,1
626000,1,2,0
627000,1,2,1
628000,1,2,1
629000,2,3,1
630000,1,3,1
631000,1,2,0
632000,2,4,1
633000,2,4,1
634000,3,4,1
635000,2,4,1
636000,1,2,1
637000,3,4,1
638000,3,4,1
639000,1,2,1
640000,2,3,1
641000,1,2,1
642000,3,4,0
643000,1,2,1
644000,1,4,1
645000,1,3,1
646000,1,2,1
647000,3,4,1
648000,2,4,0
649000,2,3,1
650000,1,4,0
651000,3,4,1
652000,3,4,1
653000,1,2,1
654000,2,3,1
655000,1,4,0
656000,3,4,1
657000,3,4,1
658000,3,4,1
659000,1,3,0
660000,3,4,1
661000,2,4,0
662000,3,4,1
663000,2,3,1
664000,3,4,1
665000,3,4,1
666000,1,2,0
667000,2,4,1
668000,2,4,1
669000,1,3,1
670000,1,4,0
671000,1,3,1
672000,3,4,1
673000,2,4,1
674000,1,3,1
675000,2,4,1
676000,1,4,1
677000,2,3,1
678000,3,4,1
679000,2,3,1
680000,2,3,1
681000,2,3,1
682000,1,2,1
683000,1,2,1
684000,3,4,1
685000,2,4,1
686000,1,3,0
687000,1,4,1
688000,1,4,1
689000,1,3,1
690000,2,3,1
691000,1,2,1
692000,1,4,1
